               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.040665,            0.046585,           0.0025915,             0.82651,             0.78597,             0.83287,             0.44137,            0.026496,            0.031492,           0.0035167,            0.002872,            0.002872,            0.002872
                  74,            0.040278,            0.044745,           0.0025268,             0.77478,             0.77671,             0.81519,             0.41663,            0.026314,            0.031543,           0.0041185,            0.002773,            0.002773,            0.002773
                  75,            0.041095,            0.047151,           0.0025962,             0.82718,             0.77391,             0.82896,             0.44093,            0.026128,            0.031712,           0.0039655,            0.002674,            0.002674,            0.002674
                  76,            0.040252,            0.043902,           0.0024724,             0.82595,             0.78724,             0.82762,             0.44046,            0.025945,            0.031605,           0.0036058,            0.002575,            0.002575,            0.002575
                  77,            0.040404,            0.046122,           0.0026048,               0.808,             0.77968,             0.82715,             0.44484,            0.025751,            0.031584,           0.0047318,            0.002476,            0.002476,            0.002476
                  78,            0.040105,            0.045702,           0.0025254,             0.81363,             0.78072,             0.83189,             0.44893,            0.025694,            0.031413,           0.0038497,            0.002377,            0.002377,            0.002377
                  79,            0.041087,            0.046094,           0.0023057,             0.83635,             0.76803,              0.8268,             0.44455,             0.02603,            0.031404,           0.0037752,            0.002278,            0.002278,            0.002278
                  80,            0.040746,            0.045519,           0.0025589,             0.81297,             0.77487,             0.82654,             0.44222,            0.026131,            0.031563,           0.0038151,            0.002179,            0.002179,            0.002179
                  81,            0.040076,            0.045626,           0.0026921,             0.81949,             0.78724,             0.83391,             0.44916,            0.025952,            0.031474,           0.0037611,             0.00208,             0.00208,             0.00208
                  82,            0.039927,            0.046369,           0.0025396,             0.84415,              0.7838,             0.83369,             0.45001,            0.026072,            0.031334,           0.0036285,            0.001981,            0.001981,            0.001981
                  83,             0.03995,            0.045952,           0.0023037,             0.82462,             0.78473,             0.83232,             0.45147,            0.026006,            0.031535,           0.0038107,            0.001882,            0.001882,            0.001882
                  84,            0.039593,            0.044656,           0.0023384,             0.83604,             0.77947,             0.83257,             0.45435,            0.025526,            0.031123,           0.0037221,            0.001783,            0.001783,            0.001783
                  85,            0.039924,             0.04494,           0.0022964,             0.83399,             0.78964,             0.83375,             0.45399,            0.025607,            0.031426,            0.003392,            0.001684,            0.001684,            0.001684
                  86,            0.039764,            0.044035,           0.0023688,             0.84452,             0.78064,             0.83459,             0.45635,            0.025736,            0.031375,           0.0035417,            0.001585,            0.001585,            0.001585
                  87,             0.03878,            0.045159,           0.0024084,             0.83447,             0.79565,             0.83703,             0.45729,            0.025383,             0.03141,           0.0033233,            0.001486,            0.001486,            0.001486
                  88,            0.039662,            0.045198,           0.0023156,             0.82721,              0.7815,             0.82871,             0.45121,            0.025666,            0.031329,           0.0035462,            0.001387,            0.001387,            0.001387
                  89,            0.039762,            0.046067,           0.0024423,             0.83866,             0.78269,             0.84107,             0.45854,            0.025522,            0.031298,           0.0034816,            0.001288,            0.001288,            0.001288
                  90,            0.039737,            0.046411,           0.0024387,              0.8362,             0.79238,             0.84282,             0.45931,            0.025394,            0.031125,           0.0034861,            0.001189,            0.001189,            0.001189
                  91,            0.039124,            0.046682,           0.0023722,             0.83971,             0.78125,             0.84043,             0.45922,            0.025358,            0.031207,           0.0034969,             0.00109,             0.00109,             0.00109
                  92,            0.039019,            0.046082,           0.0023472,             0.83906,             0.79051,             0.84157,              0.4642,            0.025438,            0.031179,           0.0035869,            0.000991,            0.000991,            0.000991
                  93,            0.039569,            0.046316,           0.0026414,             0.83805,             0.78608,             0.83779,             0.46819,            0.025308,            0.031058,           0.0037259,            0.000892,            0.000892,            0.000892
                  94,            0.038437,            0.044635,            0.002296,             0.85122,             0.77371,             0.83864,              0.4628,            0.025534,            0.031083,             0.00369,            0.000793,            0.000793,            0.000793
                  95,            0.039328,            0.044538,           0.0024314,             0.82341,             0.79113,             0.83873,             0.46586,            0.025337,            0.031139,           0.0034975,            0.000694,            0.000694,            0.000694
                  96,            0.039058,            0.045448,           0.0023678,             0.84312,             0.77321,             0.83942,             0.46683,            0.025156,            0.031055,           0.0034747,            0.000595,            0.000595,            0.000595
                  97,            0.039496,            0.045094,           0.0025151,             0.83771,             0.78275,             0.84008,             0.46572,            0.025194,            0.031157,           0.0034352,            0.000496,            0.000496,            0.000496
                  98,            0.038595,            0.043684,           0.0026726,             0.81525,             0.80369,             0.84058,              0.4695,            0.025278,            0.030992,           0.0034352,            0.000397,            0.000397,            0.000397
                  99,             0.03909,            0.045154,           0.0023982,             0.83288,             0.79506,             0.83983,             0.46802,            0.025254,            0.031078,            0.003486,            0.000298,            0.000298,            0.000298
